[14-Nov-2018 16:37:48 UTC] PHP Parse error:  syntax error, unexpected ')', expecting variable (T_VARIABLE) in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-content/themes/liltmilano/functions.php on line 57
[14-Nov-2018 16:37:51 UTC] PHP Parse error:  syntax error, unexpected ')', expecting variable (T_VARIABLE) in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-content/themes/liltmilano/functions.php on line 57
[14-Nov-2018 16:38:04 UTC] PHP Parse error:  syntax error, unexpected ')', expecting variable (T_VARIABLE) in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-content/themes/liltmilano/functions.php on line 57
[15-Nov-2018 08:54:11 UTC] PHP Warning:  mysqli_select_db(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1024
[15-Nov-2018 08:54:11 UTC] PHP Warning:  mysqli_select_db(): Error while reading INIT_DB's response packet. PID=25268 in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1024
[15-Nov-2018 13:04:59 UTC] PHP Fatal error:  Cannot redeclare get_taxonomies() (previously declared in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/taxonomy.php:169) in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-content/themes/liltmilano/functions.php on line 106
[16-Nov-2018 14:24:27 UTC] PHP Warning:  mysqli_query(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1924
[16-Nov-2018 14:24:27 UTC] PHP Warning:  mysqli_query(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1924
[20-Nov-2018 15:16:00 UTC] PHP Notice:  wp_enqueue_script è stato richiamato <strong>in maniera scorretta</strong>. Gli script e gli stili non dovrebbero essere registrati o accodati prima degli hooks <code>wp_enqueue_scripts</code>,<code>admin_enqueue_scripts</code>, o <code>login_enqueue_scripts</code>. Leggi <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> per maggiori informazioni. (Questo messaggio è stato aggiunto nella versione 3.3.0.) in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/functions.php on line 4161
[20-Nov-2018 15:16:04 UTC] PHP Notice:  wp_enqueue_script è stato richiamato <strong>in maniera scorretta</strong>. Gli script e gli stili non dovrebbero essere registrati o accodati prima degli hooks <code>wp_enqueue_scripts</code>,<code>admin_enqueue_scripts</code>, o <code>login_enqueue_scripts</code>. Leggi <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> per maggiori informazioni. (Questo messaggio è stato aggiunto nella versione 3.3.0.) in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/functions.php on line 4161
[20-Nov-2018 15:50:50 UTC] PHP Warning:  mysqli_query(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 792
[20-Nov-2018 15:50:50 UTC] PHP Warning:  mysqli_query(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 792
[20-Nov-2018 15:51:14 UTC] PHP Warning:  mysqli_set_charset(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 756
[20-Nov-2018 15:51:14 UTC] PHP Warning:  mysqli_set_charset(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 756
[20-Nov-2018 15:51:14 UTC] PHP Warning:  mysqli_set_charset(): Error executing query in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 756
[20-Nov-2018 15:52:40 UTC] PHP Warning:  mysqli_query(): (00000/0):  in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1924
[20-Nov-2018 15:52:40 UTC] PHP Warning:  mysqli_query(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1924
[20-Nov-2018 15:52:40 UTC] PHP Warning:  mysqli_query(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1924
[20-Nov-2018 15:54:37 UTC] PHP Warning:  mysqli_real_connect(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1531
[20-Nov-2018 15:54:37 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2006): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 1531
[20-Nov-2018 15:54:42 UTC] PHP Warning:  mysqli_query(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 792
[20-Nov-2018 15:54:42 UTC] PHP Warning:  mysqli_query(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 792
[20-Nov-2018 15:55:11 UTC] PHP Warning:  mysqli_query(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 792
[20-Nov-2018 15:55:11 UTC] PHP Warning:  mysqli_query(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 792
[20-Nov-2018 15:55:38 UTC] PHP Warning:  mysqli_set_charset(): MySQL server has gone away in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 756
[20-Nov-2018 15:55:38 UTC] PHP Warning:  mysqli_set_charset(): Error reading result set's header in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 756
[20-Nov-2018 15:55:38 UTC] PHP Warning:  mysqli_set_charset(): Error executing query in /Applications/XAMPP/xamppfiles/htdocs/liltmilano_wp/wp-includes/wp-db.php on line 756
